"Assay","Individual_ID","Sample_ID","File_Name","BrodmannArea","BrainRegion","Hemisphere","CellType","TissueState","HistoneMark","HistoneAntibody","ChromatinAmount","AntibodyAmount","LibraryBatch","LibraryKit","RunType","ReadLength","FlowcellBatch","SequencingPlatform","MappedReads"
"ChIP-Seq","CMC_HBCC_425","HBCC_PFC_345_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_425","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","6.66","10","19","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","81794632"
"ChIP-Seq","CMC_HBCC_425","HBCC_PFC_345_Neg_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_425","9_10","DLPFC","right","NeuN-","chunk","Input","Not applicable","230.4",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","39956824"
"ChIP-Seq","CMC_HBCC_425","HBCC_PFC_345_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_425","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","14.715","4","15","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","118379784"
"ChIP-Seq","CMC_HBCC_425","HBCC_PFC_345_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_425","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","9.585","10","17","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","99264572"
"ChIP-Seq","CMC_HBCC_425","HBCC_PFC_345_Pos_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_425","9_10","DLPFC","right","NeuN+","chunk","Input","Not applicable","321.75",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","55197443"
"ChIP-Seq","CMC_HBCC_436","HBCC_ACC_376_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_436",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","7.29","4","13","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","123428606"
"ChIP-Seq","CMC_HBCC_436","HBCC_ACC_376_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_436",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","2.655","10","10","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","38064696"
"ChIP-Seq","CMC_HBCC_436","HBCC_ACC_376_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_436",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","6.93","4","12","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","84719583"
"ChIP-Seq","CMC_HBCC_436","HBCC_ACC_376_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_436",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","3.735","10","12","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","40578370"
"ChIP-Seq","CMC_HBCC_436","HBCC_PFC_375_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_436","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","4.77","4","21","KK8502","paired-end",100,NA,"HiSeq2500","97581442"
"ChIP-Seq","CMC_HBCC_436","HBCC_PFC_375_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_436","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","2.61","10","9","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","40388522"
"ChIP-Seq","CMC_HBCC_436","HBCC_PFC_375_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_436","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","8.28","10","11","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","50326167"
"ChIP-Seq","CMC_HBCC_439","HBCC_ACC_360_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_439",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","5.49","4","2","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","97120296"
"ChIP-Seq","CMC_HBCC_439","HBCC_ACC_360_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_439",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","0","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","60025059"
"ChIP-Seq","CMC_HBCC_439","HBCC_ACC_360_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_439",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","11.34","4","3","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","126909494"
"ChIP-Seq","CMC_HBCC_439","HBCC_ACC_360_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_439",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","0","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","62479463"
"ChIP-Seq","CMC_HBCC_439","HBCC_PFC_359_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_439","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","8.37","4","3","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","103648594"
"ChIP-Seq","CMC_HBCC_439","HBCC_PFC_359_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_439","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","2","KK8502","paired-end",100,"C6BP4ANXX","HiSeq2500","48062429"
"ChIP-Seq","CMC_HBCC_439","HBCC_PFC_359_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_439","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","11.52","4","1","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","80181144"
"ChIP-Seq","CMC_HBCC_439","HBCC_PFC_359_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_439","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","4.77","10","1","KK8502","paired-end",100,"C6BP4ANXX","HiSeq2500","47133620"
"ChIP-Seq","CMC_HBCC_440","HBCC_ACC_374_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_440",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","5.31","4","8","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","87976218"
"ChIP-Seq","CMC_HBCC_440","HBCC_ACC_374_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_440",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","5","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","48507800"
"ChIP-Seq","CMC_HBCC_440","HBCC_ACC_374_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_440",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","5.85","4","5","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","85690346"
"ChIP-Seq","CMC_HBCC_440","HBCC_ACC_374_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_440",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","5.4","10","6","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","45462844"
"ChIP-Seq","CMC_HBCC_440","HBCC_PFC_373_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_440","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","0","4","7","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","79546654"
"ChIP-Seq","CMC_HBCC_440","HBCC_PFC_373_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_440","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","5","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","58717895"
"ChIP-Seq","CMC_HBCC_440","HBCC_PFC_373_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_440","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","0","4","6","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","106546967"
"ChIP-Seq","CMC_HBCC_440","HBCC_PFC_373_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_440","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","8","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","78897363"
"ChIP-Seq","CMC_HBCC_441","HBCC_ACC_370_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_441",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","14.58","4","10","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","110381896"
"ChIP-Seq","CMC_HBCC_441","HBCC_ACC_370_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_441",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","4.455","10","10","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","118974027"
"ChIP-Seq","CMC_HBCC_441","HBCC_ACC_370_Neg_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_441",NA,"ACC","Right","NeuN-","chunk","Input","Not applicable","202.05",NA,"Input","KK8502","paired-end",100,"HFF3CBCXX","HiSeq2500","81492763"
"ChIP-Seq","CMC_HBCC_441","HBCC_ACC_370_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_441",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Active Motif Cat # 39133","13.05","4","12","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","104889281"
"ChIP-Seq","CMC_HBCC_441","HBCC_ACC_370_Pos_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_441",NA,"ACC","Right","NeuN+","chunk","Input","Not applicable","177.75",NA,"Input","KK8502","paired-end",100,"HFF3CBCXX","HiSeq2500","78048131"
"ChIP-Seq","CMC_HBCC_441","HBCC_PFC_369_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_441","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","9.765","4","10","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","84815524"
"ChIP-Seq","CMC_HBCC_441","HBCC_PFC_369_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_441","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","2.3085","10","11","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","122462445"
"ChIP-Seq","CMC_HBCC_441","HBCC_PFC_369_Neg_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_441","9_10","DLPFC","right","NeuN-","chunk","Input","Not applicable","191.7",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","67794495"
"ChIP-Seq","CMC_HBCC_441","HBCC_PFC_369_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_441","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","20.385","4","12","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","76496641"
"ChIP-Seq","CMC_HBCC_441","HBCC_PFC_369_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_441","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","9.135","10","13","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","40147482"
"ChIP-Seq","CMC_HBCC_441","HBCC_PFC_369_Pos_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_441","9_10","DLPFC","right","NeuN+","chunk","Input","Not applicable","296.1",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","49378629"
"ChIP-Seq","CMC_HBCC_444","HBCC_ACC_342_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_444",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","11.07","4","18","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","112610990"
"ChIP-Seq","CMC_HBCC_444","HBCC_ACC_342_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_444",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","5.85","10","19","KK8502","paired-end",100,"C6RC5ANXX;BC7GVVANXX;BC7HAGANXX","HiSeq2500","40072850"
"ChIP-Seq","CMC_HBCC_444","HBCC_ACC_342_Neg_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_444",NA,"ACC","Right","NeuN-","chunk","Input","Not applicable","366.3",NA,"Input 1","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","82986808"
"ChIP-Seq","CMC_HBCC_444","HBCC_ACC_342_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_444",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","11.7","4","16","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","153534829"
"ChIP-Seq","CMC_HBCC_444","HBCC_ACC_342_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_444",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","28.71","10","20","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","60373622"
"ChIP-Seq","CMC_HBCC_444","HBCC_ACC_342_Pos_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_444",NA,"ACC","Right","NeuN+","chunk","Input","Not applicable","373.5",NA,"Input 1","KK8502","paired-end",100,NA,"HiSeq2500","69193431"
"ChIP-Seq","CMC_HBCC_444","HBCC_PFC_341_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_444","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","1.71","4","20","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","183883395"
"ChIP-Seq","CMC_HBCC_444","HBCC_PFC_341_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_444","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","5.85","10","15","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","50673634"
"ChIP-Seq","CMC_HBCC_444","HBCC_PFC_341_Neg_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_444","9_10","DLPFC","right","NeuN-","chunk","Input","Not applicable","284.4",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","65519639"
"ChIP-Seq","CMC_HBCC_444","HBCC_PFC_341_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_444","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","6.12","4","18","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","140649208"
"ChIP-Seq","CMC_HBCC_444","HBCC_PFC_341_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_444","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","21.15","10","14","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","63140336"
"ChIP-Seq","CMC_HBCC_444","HBCC_PFC_341_Pos_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_444","9_10","DLPFC","right","NeuN+","chunk","Input","Not applicable","331.2",NA,"Input","KK8502","paired-end",100,NA,"HiSeq2500","73350883"
